hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28
cuadro 52,Cuadro 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuadro 52,"Fallecidos en accidentes de tránsito ocurridos en la República de Guatemala, por sexo y tipo de accidente, según tipo de vehículo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuadro 52,Año 2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuadro 52,Tipo de vehículo,Total,Hombres,Mujeres,Ignorado,Tipo de accidente,,,,,,,,,,,,,,,,,,,,,,,
cuadro 52,,,,,,Colisión,,,Atropello,,,,Derrape,,,Choque,,,Embarrancó,,,Vuelco,,,Encunetó,,Ignorado,,
cuadro 52,,,Hombre,Mujer,Ignorado,Total,Hombre,Mujer,Total,Hombre,Mujer,Ignorado,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Total,Hombre,Mujer
cuadro 52,Total,2365,2021,327,17,930,782,148,629,526,86,17,428,398,30,133,115,18,95,75,20,76,61,15,1,1,73,63,10
cuadro 52,Motocicleta,1350,1200,147,3,731,637,94,85,65,17,3,413,387,26,72,65,7,36,34,2,2,2,0,0,0,11,10,1
cuadro 52,Automóvil,366,302,58,6,47,29,18,244,213,25,6,3,2,1,15,14,1,13,6,7,14,12,2,0,0,30,26,4
cuadro 52,Pick Up,174,145,28,1,43,37,6,60,52,7,1,5,3,2,16,14,2,12,10,2,27,19,8,1,1,10,9,1
cuadro 52,Camioneta,113,82,31,0,53,35,18,24,22,2,0,2,1,1,8,4,4,9,8,1,13,9,4,0,0,4,3,1
cuadro 52,Camión,102,81,20,1,23,21,2,52,35,16,1,1,1,0,9,8,1,4,4,0,10,10,0,0,0,3,2,1
cuadro 52,Cabezal,47,39,6,2,5,5,0,29,24,3,2,1,1,0,3,2,1,4,3,1,5,4,1,0,0,0,0,0
cuadro 52,Bus Urbano,43,29,13,1,3,3,0,21,13,7,1,0,0,0,3,2,1,9,6,3,3,3,0,0,0,4,2,2
cuadro 52,Moto Taxi,21,16,5,0,9,7,2,5,5,0,0,0,0,0,2,1,1,3,1,2,1,1,0,0,0,1,1,0
cuadro 52,Microbús,19,9,10,0,9,2,7,4,2,2,0,0,0,0,1,1,0,3,2,1,1,1,0,0,0,1,1,0
cuadro 52,Cuatrimoto,9,6,3,0,3,2,1,3,2,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
cuadro 52,Panel,7,7,0,0,3,3,0,1,1,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0
cuadro 52,Tractor,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
cuadro 52,Bicicleta,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 52,Furgón,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 52,Ignorado,110,102,5,3,1,1,0,98,90,5,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,8,8,0
